genome	size
3823_M.fasta	6335786
3823_N.fasta	6893426
3823_O.fasta	6629780
3823_P.fasta	7021156
3823_Q.fasta	5558974
3823_R.fasta	6632823
3823_S.fasta	6048791
3823_T.fasta	6098827
3823_U.fasta	6444177
3823_V.fasta	6013767
3823_W.fasta	11169004
3823_Y.fasta	6848260
3823_Z.fasta	5345744
3934_AA.fasta	4223414
3934_AD.fasta	5768147
3934_AE.fasta	3449886
3934_AF.fasta	6661518
3934_AG.fasta	5886478
3934_AI.fasta	4265309
3934_AL.fasta	5918282
3934_AM.fasta	5734888
3934_AN.fasta	6635080
3934_AO.fasta	4182747
3934_AP.fasta	6486507
3934_AT.fasta	4758661
3934_AU.fasta	4370627
3934_AX.fasta	6936888
3934_AY.fasta	6935552
3934_AZ.fasta	4118656
3934_B.fasta	4851956
3934_BA.fasta	4016304
3934_BB.fasta	4781100
3934_BD.fasta	3986143
3934_BF.fasta	7397446
3934_BI.fasta	5325451
3934_BK.fasta	3599230
3934_BL.fasta	5714079
3934_BP.fasta	5613379
3934_BR.fasta	5910965
3934_BW.fasta	6704893
3934_BX.fasta	5630525
3934_C.fasta	4032270
3934_CB.fasta	6321508
3934_CG.fasta	3535383
3934_CH.fasta	6070971
3934_CK.fasta	6165189
3934_CM.fasta	5317277
3934_CP.fasta	6331084
3934_CQ.fasta	6010951
3934_D.fasta	4015664
3934_E.fasta	4186652
3934_F.fasta	4179155
3934_I.fasta	6175764
3934_K.fasta	6366386
3934_M.fasta	4285894
3934_Q.fasta	4193056
3934_S.fasta	4196278
3934_Y.fasta	6574001
3934_Z.fasta	4105531
3937_A.fasta	4302840
3937_I.fasta	4653659
3937_Q.fasta	7735279
3937_Y.fasta	4684096
394503.PRJNA17419.fasta	4068724
395965.PRJNA20635.fasta	4305430
398511.PRJNA28811.fasta	3858997
398527.PRJNA17463.fasta	8093536
401053.PRJNA48971.fasta	5095226
404380.PRJNA17707.fasta	4615150
404589.PRJNA17729.fasta	5277990
405948.PRJEA18489.fasta	8212805
421072.PRJNA255518.fasta	4236390
421531.PRJNA256038.fasta	4718546
43759.PRJNA238534.fasta	9381098
443143.PRJNA33159.fasta	5277406
443255.PRJNA42475.fasta	6760392
444461.PRJNA174173.fasta	3318479
445961.PRJNA255943.fasta	4754478
446462.PRJNA19705.fasta	8248144
446465.PRJNA17026.fasta	3614992
446466.PRJNA19707.fasta	4123179
448385.PRJNA28111.fasta	13033779
452662.PRJDA19949.fasta	4196714
452863.PRJNA20011.fasta	4395537
455632.PRJDA20085.fasta	8545929
456442.PRJNA18505.fasta	2542943
457425.PRJNA180996.fasta	6841649
457427.PRJNA33605.fasta	11030030
469371.PRJNA20737.fasta	4189976
469383.PRJNA20745.fasta	6359369
471853.PRJNA20827.fasta	4669183
479431.PRJNA29537.fasta	6060298
479432.PRJNA21083.fasta	10341314
479433.PRJNA21085.fasta	10467782
479435.PRJNA21089.fasta	7579488
485913.PRJNA27943.fasta	13661586
485917.PRJNA27949.fasta	5167383
485918.PRJNA27951.fasta	9127347
487316.PRJDB1754.fasta	3330486
491205.PRJNA236202.fasta	4369184
497964.PRJNA28531.fasta	7848700
498211.PRJNA28329.fasta	4576573
509635.PRJNA214790.fasta	6460024
519442.PRJNA29305.fasta	3116795
520709.PRJNA183323.fasta	4231694
521096.PRJNA29399.fasta	4379918
523850.PRJNA20773.fasta	1847607
525897.PRJNA29527.fasta	3942657
525903.PRJNA29531.fasta	1848474
526225.PRJNA29547.fasta	5322497
529.PRJNA244571.fasta	4638588
546414.PRJNA16691.fasta	2819842
553385.PRJNA237992.fasta	4050090
590998.PRJNA33691.fasta	4266344
591158.PRJNA33599.fasta	9175669
591159.PRJNA33607.fasta	8548335
591167.PRJNA33771.fasta	7337497
593907.PRJNA33853.fasta	3526441
627192.PRJNA67115.fasta	4199332
652017.PRJNA238302.fasta	3040130
65497.PRJNA238534.fasta	6026522
658612.PRJNA261945.fasta	5790538
665577.PRJNA63193.fasta	8293298
667632.PRJNA169697.fasta	6387382
675511.PRJNA89087.fasta	5067278
684949.PRJNA157079.fasta	4019388
690598.PRJNA41633.fasta	5417469
69222.PRJNA238419.fasta	4640069
69328.PRJNA178195.fasta	5644569
694427.PRJNA42009.fasta	3685504
697284.PRJNA42205.fasta	4046337
700508.PRJNA177066.fasta	5421267
709986.PRJNA43461.fasta	3498530
717606.PRJNA49287.fasta	5452778
720555.PRJNA46075.fasta	4168266
743713.PRJNA68653.fasta	6256692
749927.PRJNA46889.fasta	10236715
756067.PRJNA47601.fasta	6698929
756499.PRJNA61181.fasta	4321753
759362.PRJNA48079.fasta	2766400
76114.PRJNA13242.fasta	4296230
762903.PRJNA49337.fasta	4635236
796606.PRJNA246479.fasta	3337035
861299.PRJNA194094.fasta	5332479
926554.PRJNA66373.fasta	4765806
926564.PRJNA66563.fasta	5799011
929712.PRJNA63851.fasta	5521807
930171.PRJNA20087.fasta	4250414
935543.PRJNA169686.fasta	9065247
979226.PRJNA81617.fasta	4772825
987045.PRJNA63165.fasta	5585780
Alternaria_tenuis_MPI-SDFR-AT-0071.contigs.fasta	34443718
Aspergillus_fumigatus_MPI-SW4-AT-0569.contigs.fasta	47521149
Ceratobasidium_sp_CerAGI.fasta	58444101
Chlamy107.fasta	6491898
Chlamy109.fasta	6080660
Chlamy119.fasta	6237157
Chlamy123.fasta	4582807
Chlamy125.fasta	6176876
Chlamy126.fasta	5365780
Chlamy13.fasta	6984708
Chlamy135.fasta	5683460
Chlamy147.fasta	4593845
Chlamy149.fasta	5810342
Chlamy151.fasta	5733316
Chlamy165.fasta	6184071
Chlamy174.fasta	3910770
Chlamy176.fasta	5899595
Chlamy182.fasta	5315233
Chlamy183.fasta	5998578
Chlamy187.fasta	8053582
Chlamy26.fasta	4497195
Chlamy37.fasta	6160831
Chlamy44.fasta	4573642
Chlamy52.fasta	4269179
Chlamy53.fasta	5624298
Chlamy6.fasta	5623870
Chlamy7.fasta	2691547
Chlamy70.fasta	5072444
Chlamy71.fasta	4326177
Chlamy76.fasta	7250714
Chlamy80.fasta	3463205
Chlamy82.fasta	5088568
Chlamy84.fasta	5995217
Chlamy9.fasta	4655221
Chlamy90.fasta	6795286
Cladosporium_rectoides_MPI-GEGE-AT-0032.contigs.fasta	33942924
Cryptosporiopsis_ericae_MPI-SW4-AT-0549.contigs.fasta	64936402
Cylindrocarpon_pauciseptatum_MPI-SP2-AT-0468.contigs.fasta	60797881
Embellisia_chlamydospora_MPI-FR1-AT-0336.contigs.fasta	37793906
Embellisia_chlamydospora_MPI-SP2-AT-0402.contigs.fasta	35209770
Fusarium_equiseti_MPI-CAGE-CH-0233.contigs.fasta	40656868
Fusarium_falciforme_MPI-FR1-AT-0333.contigs.fasta	61555659
Fusarium_falciforme_MPI-IT2-AT-0322.contigs.fasta	62862651
Fusarium_oxysporum_MPI-CAGE-AT-0013.contigs.fasta	56548958
Fusarium_oxysporum_MPI-CAGE-CH-0226.contigs.fasta	57238069
Fusarium_oxysporum_MPI-FR1-AT-0335.contigs.fasta	55153359
Fusarium_oxysporum_MPI-IT2-AT-0302.contigs.fasta	53201618
Fusarium_oxysporum_MPI-PUGE-AT-0057.contigs.fasta	59071048
Fusarium_oxysporum_MPI-SP2-AT-0407.contigs.fasta	52105426
Fusarium_redolens_MPI-CAGE-CH-0216.contigs.fasta	55076993
Fusarium_torulosum_MPI-SDFR-AT-0089.contigs.fasta	42850815
Gibellulopsis_nigrescens_MPI-SP2-AT-0410.contigs.fasta	35340245
Hypocrea_atroviridis_MPI-SP2-AT-0434.contigs.fasta	39107378
Ilyonectria_macrodidyma_MPI-GEGE-AT-0033.contigs.fasta	74816530
Leptodontidium_orchidicola_MPI-SW4-AT-0643.contigs.fasta	79839788
LjNodule212.fasta	7707227
LjRoot1.fasta	6352129
LjRoot10.fasta	7265125
LjRoot101.fasta	4697841
LjRoot103.fasta	6766373
LjRoot104.fasta	6643157
LjRoot105.fasta	5179085
LjRoot109.fasta	5187907
LjRoot11.fasta	5443212
LjRoot117.fasta	6098467
LjRoot120.fasta	5029324
LjRoot122.fasta	5765749
LjRoot125.fasta	3979115
LjRoot129.fasta	5652400
LjRoot13.fasta	4435904
LjRoot130.fasta	7515573
LjRoot131.fasta	5098671
LjRoot134.fasta	5054415
LjRoot139.fasta	6691917
LjRoot142.fasta	5572651
LjRoot143.fasta	4450484
LjRoot145.fasta	5909246
LjRoot149.fasta	5158255
LjRoot15.fasta	5573008
LjRoot150.fasta	6759260
LjRoot152.fasta	5865110
LjRoot153.fasta	8429646
LjRoot154.fasta	6504463
LjRoot156.fasta	4128024
LjRoot16.fasta	5983874
LjRoot162.fasta	6842407
LjRoot167.fasta	4657400
LjRoot17.fasta	3429871
LjRoot170.fasta	6723338
LjRoot175.fasta	8509316
LjRoot176.fasta	7133150
LjRoot177.fasta	4243840
LjRoot179.fasta	8214425
LjRoot18.fasta	4089646
LjRoot181.fasta	5106542
LjRoot182.fasta	6641845
LjRoot183.fasta	8082175
LjRoot184.fasta	4971336
LjRoot186.fasta	4075123
LjRoot187.fasta	5283764
LjRoot192.fasta	5412610
LjRoot194.fasta	5778074
LjRoot196.fasta	6570334
LjRoot202.fasta	2815256
LjRoot21.fasta	4357980
LjRoot28.fasta	5076287
LjRoot29.fasta	7921463
LjRoot3.fasta	4847736
LjRoot30.fasta	6856875
LjRoot31.fasta	8821066
LjRoot33.fasta	5220914
LjRoot34.fasta	10193148
LjRoot38.fasta	5671355
LjRoot40.fasta	8004702
LjRoot42.fasta	4009791
LjRoot43.fasta	6706784
LjRoot44.fasta	3886200
LjRoot45.fasta	3319268
LjRoot48.fasta	3752069
LjRoot49.fasta	4663649
LjRoot51.fasta	6517831
LjRoot53.fasta	4399982
LjRoot62.fasta	6726897
LjRoot66.fasta	7283570
LjRoot69.fasta	6652092
LjRoot70.fasta	6325341
LjRoot71.fasta	4389528
LjRoot74.fasta	5654918
LjRoot79.fasta	5098914
LjRoot80.fasta	6318270
LjRoot82.fasta	5027472
LjRoot84.fasta	8172318
LjRoot9.fasta	6827727
LjRoot90.fasta	5873253
LjRoot92.fasta	6877708
LjRoot99.fasta	6755892
Macrophomina_phaseolina_MPI-FR1-AT-0330.contigs.fasta	58552437
Macrophomina_phaseolina_MPI-SDFR-AT-0085.contigs.fasta	50849765
Metacordyceps_chlamydosporia_MPI-IT2-AT-0323.contigs.fasta	43916484
Myrothecium_cinctum_MPI-SP2-AT-0408.contigs.fasta	44683684
Neonectria_radicicola_MPI-CAGE-CH-0236.contigs.fasta	75485037
Ochroconis_tshawytschae_MPI-SP2-AT-0416.contigs.fasta	36199058
Paraphoma_chrysanthemicola_MPI-SDFR-AT-0093.contigs.fasta	42351520
Paraphoma_chrysanthemicola_MPI-SDFR-AT-0118.contigs.fasta	43646342
Penicillium_canescens_MPI-SW4-AT-0573.contigs.fasta	32967678
Penicillium_crustosum_MPI-IT2-AT-0321.contigs.fasta	39305582
Penicillium_restrictum_MPI-SP2-AT-0405.contigs.fasta	28557816
Peyronellaea_curtisii_MPI-SP2-AT-0415.contigs.fasta	36822598
Phaeosphaeria_eustoma_MPI-FR1-AT-0339.contigs.fasta	51461602
Phaeosphaeria_eustoma_MPI-SP2-AT-0401.contigs.fasta	50715933
Phialocephala_fortinii_MPI-SW4-AT-0551.contigs.fasta	76760107
Phialocephala_fortinii_MPI-SW4-AT-0651.contigs.fasta	79037002
Phoma_exigua_MPI-PUGE-AT-0052.contigs.fasta	35350367
Phoma_radicina_MPI-SP2-AT-0466.contigs.fasta	38215437
Phoma_selaginellicola_MPI-SW4-AT-0584.contigs.fasta	44198635
Phomopsis_columnaris_MPI-SP2-AT-0504.contigs.fasta	88466628
Phomopsis_columnaris_MPI-SW4-AT-0540.contigs.fasta	73756538
Platanthera_zijinensis_chr.fasta	4186550321
Plectosphaerella_cucumerina_MPI-FR1-AT-0340.contigs.fasta	39476090
Plectosphaerella_cucumerina_MPI-SP2-AT-0421.contigs.fasta	39382239
Plectosphaerella_cucumerina_MPI-SP2-AT-0455.contigs.fasta	37412521
Pyrenochaeta_lycopersici_MPI-FR1-AT-0381.contigs.fasta	54218686
RNODE_101_length_1372_cov_7.49556.fasta	13500
RNODE_102_length_8268_cov_3.53650.fasta	82460
RNODE_103_length_2852_cov_4.11378.fasta	28300
RNODE_104_length_5057_cov_12.80755.fasta	50350
RNODE_105_length_62790_cov_25.15822.fasta	627680
RNODE_106_length_1583_cov_3.49519.fasta	15610
RNODE_111_length_2230_cov_3.84239.fasta	22080
RNODE_112_length_5666_cov_6.47909.fasta	56440
RNODE_113_length_2920_cov_5.66563.fasta	28980
RNODE_115_length_1563_cov_5.85918.fasta	15410
RNODE_117_length_1506_cov_6.97170.fasta	14840
RNODE_118_length_1774_cov_2.07534.fasta	17520
RNODE_119_length_2367_cov_7.70704.fasta	23450
RNODE_11_length_2136_cov_9.27578.fasta	21140
RNODE_120_length_2282_cov_6.07257.fasta	22600
RNODE_121_length_10870_cov_30.65219.fasta	108480
RNODE_123_length_2054_cov_30.18504.fasta	20320
RNODE_124_length_1415_cov_2.71141.fasta	13930
RNODE_128_length_2643_cov_8.66196.fasta	26210
RNODE_129_length_1566_cov_26.20790.fasta	15440
RNODE_12_length_1515_cov_4.22907.fasta	14930
RNODE_130_length_2230_cov_8.22328.fasta	22080
RNODE_131_length_3521_cov_17.22578.fasta	34990
RNODE_132_length_8354_cov_2.98896.fasta	83320
RNODE_135_length_2376_cov_3.88445.fasta	23540
RNODE_136_length_1758_cov_14.12385.fasta	17360
RNODE_138_length_6510_cov_13.48012.fasta	64880
RNODE_13_length_1938_cov_15.43946.fasta	19160
RNODE_140_length_2497_cov_5.86303.fasta	24750
RNODE_141_length_2345_cov_22.92639.fasta	23230
RNODE_143_length_3260_cov_5.42156.fasta	32380
RNODE_144_length_2325_cov_4.38472.fasta	23030
RNODE_145_length_1547_cov_6.91082.fasta	15250
RNODE_148_length_1828_cov_3.97398.fasta	18060
RNODE_151_length_1644_cov_3.51048.fasta	16220
RNODE_152_length_11535_cov_8.34205.fasta	115130
RNODE_153_length_2931_cov_9.80406.fasta	29090
RNODE_155_length_2531_cov_7.75129.fasta	25090
RNODE_157_length_9240_cov_11.70069.fasta	92180
RNODE_15_length_2057_cov_7.49140.fasta	20350
RNODE_160_length_1746_cov_3.90255.fasta	17240
RNODE_161_length_2494_cov_2.64806.fasta	24720
RNODE_162_length_1832_cov_1.88784.fasta	18100
RNODE_163_length_2924_cov_26.52619.fasta	29020
RNODE_164_length_3484_cov_4.58781.fasta	34620
RNODE_165_length_1669_cov_2.37887.fasta	16470
RNODE_167_length_15660_cov_7.41802.fasta	156380
RNODE_168_length_1728_cov_6.59379.fasta	17060
RNODE_169_length_2014_cov_4.86797.fasta	19920
RNODE_16_length_2729_cov_73.58182.fasta	27070
RNODE_170_length_2572_cov_18.40510.fasta	25500
RNODE_172_length_2223_cov_6.95729.fasta	22010
RNODE_174_length_2429_cov_2.88035.fasta	24070
RNODE_175_length_2761_cov_19.02118.fasta	27390
RNODE_176_length_1549_cov_36.55206.fasta	15270
RNODE_177_length_3051_cov_8.18455.fasta	30290
RNODE_178_length_3618_cov_3.32119.fasta	35960
RNODE_179_length_3165_cov_11.18263.fasta	31430
RNODE_181_length_5163_cov_13.91578.fasta	51410
RNODE_182_length_2608_cov_41.99343.fasta	25860
RNODE_183_length_2196_cov_14.40984.fasta	21740
RNODE_184_length_2456_cov_5.89523.fasta	24340
RNODE_185_length_1556_cov_2.93481.fasta	15340
RNODE_186_length_2504_cov_28.93916.fasta	24820
RNODE_187_length_2669_cov_7.35323.fasta	26470
RNODE_188_length_3578_cov_152.10292.fasta	35560
RNODE_189_length_1548_cov_4.91153.fasta	15260
RNODE_190_length_2372_cov_3.90340.fasta	23500
RNODE_191_length_4523_cov_9.06065.fasta	45010
RNODE_192_length_7636_cov_18.62687.fasta	76140
RNODE_194_length_1274_cov_1.74441.fasta	12520
RNODE_195_length_1761_cov_3.04140.fasta	17390
RNODE_196_length_1935_cov_38.48772.fasta	19130
RNODE_197_length_5069_cov_3.76758.fasta	50470
RNODE_198_length_2135_cov_8.85376.fasta	21130
RNODE_199_length_3758_cov_10.79550.fasta	37360
RNODE_19_length_30312_cov_10.20690.fasta	302900
RNODE_1_length_6898_cov_7.60442.fasta	68760
RNODE_201_length_2438_cov_4.66846.fasta	24160
RNODE_202_length_2300_cov_3.80773.fasta	22780
RNODE_203_length_1708_cov_4.32029.fasta	16860
RNODE_204_length_1584_cov_1.63444.fasta	15620
RNODE_206_length_1596_cov_53.17090.fasta	15740
RNODE_208_length_1614_cov_5.26633.fasta	15920
RNODE_209_length_3433_cov_79.37027.fasta	34110
RNODE_20_length_3323_cov_4.22024.fasta	33010
RNODE_210_length_2651_cov_13.95131.fasta	26290
RNODE_211_length_1756_cov_5.39677.fasta	17340
RNODE_212_length_4097_cov_3.86528.fasta	40750
RNODE_213_length_2939_cov_7.79705.fasta	29170
RNODE_214_length_1765_cov_3.24842.fasta	17430
RNODE_215_length_3095_cov_6.61373.fasta	30730
RNODE_216_length_15421_cov_6.49724.fasta	153990
RNODE_217_length_2598_cov_4.83502.fasta	25760
RNODE_219_length_1344_cov_3.84720.fasta	13220
RNODE_21_length_1619_cov_4.64433.fasta	15970
RNODE_221_length_2696_cov_7.95138.fasta	26740
RNODE_222_length_1915_cov_3.09562.fasta	18930
RNODE_223_length_2107_cov_5.74724.fasta	20850
RNODE_226_length_3315_cov_75.69511.fasta	32930
RNODE_22_length_7302_cov_3.23613.fasta	72800
RNODE_230_length_2858_cov_5.31312.fasta	28360
RNODE_231_length_5311_cov_4.30176.fasta	52890
RNODE_232_length_21840_cov_9.43432.fasta	218180
RNODE_233_length_1740_cov_3.83120.fasta	17180
RNODE_236_length_2297_cov_5.75912.fasta	22750
RNODE_237_length_4009_cov_52.34788.fasta	39870
RNODE_238_length_3219_cov_2.87332.fasta	31970
RNODE_239_length_2392_cov_75.72363.fasta	23700
RNODE_23_length_1998_cov_572.28391.fasta	19760
RNODE_240_length_12811_cov_7.14481.fasta	127890
RNODE_241_length_10461_cov_3.82000.fasta	104390
RNODE_242_length_3657_cov_7.66465.fasta	36350
RNODE_244_length_5333_cov_28.75937.fasta	53110
RNODE_245_length_4357_cov_37.67935.fasta	43350
RNODE_246_length_2482_cov_3.42358.fasta	24600
RNODE_247_length_8256_cov_14.85123.fasta	82340
RNODE_249_length_1595_cov_4.08837.fasta	15730
RNODE_250_length_5534_cov_8.34289.fasta	55120
RNODE_252_length_2412_cov_8.03222.fasta	23900
RNODE_253_length_4934_cov_14.39047.fasta	49120
RNODE_255_length_1540_cov_6.64690.fasta	15180
RNODE_256_length_3265_cov_29.43355.fasta	32430
RNODE_257_length_1602_cov_16.93671.fasta	15800
RNODE_260_length_1690_cov_3.39508.fasta	16680
RNODE_261_length_5536_cov_4.10881.fasta	55140
RNODE_262_length_4000_cov_14.35495.fasta	39780
RNODE_264_length_2217_cov_3.64237.fasta	21950
RNODE_267_length_1450_cov_3.70798.fasta	14280
RNODE_268_length_9216_cov_4.69600.fasta	91940
RNODE_269_length_3926_cov_5.29021.fasta	39040
RNODE_26_length_2149_cov_3.97038.fasta	21270
RNODE_270_length_5234_cov_7.75671.fasta	52120
RNODE_271_length_3998_cov_11.67404.fasta	39760
RNODE_272_length_2015_cov_5.10035.fasta	19930
RNODE_273_length_1300_cov_2.30673.fasta	12780
RNODE_274_length_1504_cov_11.90756.fasta	14820
RNODE_275_length_3412_cov_8.48584.fasta	33900
RNODE_276_length_1745_cov_5.73070.fasta	17230
RNODE_278_length_7999_cov_5.67456.fasta	79770
RNODE_27_length_9272_cov_4.89762.fasta	92500
RNODE_280_length_5088_cov_4.43328.fasta	50660
RNODE_281_length_3634_cov_4.76523.fasta	36120
RNODE_282_length_2526_cov_38.05351.fasta	25040
RNODE_284_length_8760_cov_7.25395.fasta	87380
RNODE_285_length_1358_cov_4.40719.fasta	13360
RNODE_286_length_1588_cov_4.62324.fasta	15660
RNODE_287_length_2601_cov_28.03218.fasta	25790
RNODE_288_length_3164_cov_59.95449.fasta	31420
RNODE_289_length_4454_cov_4.54626.fasta	44320
RNODE_28_length_2156_cov_6.27835.fasta	21340
RNODE_292_length_1675_cov_7.61464.fasta	16530
RNODE_293_length_11038_cov_5.01480.fasta	110160
RNODE_295_length_10931_cov_11.99890.fasta	109090
RNODE_296_length_1799_cov_6.54699.fasta	17770
RNODE_297_length_1810_cov_21.16499.fasta	17880
RNODE_298_length_4113_cov_5.23857.fasta	40910
RNODE_299_length_1525_cov_5.32402.fasta	15030
RNODE_29_length_2138_cov_51.39745.fasta	21160
RNODE_2_length_1508_cov_3.94751.fasta	14860
RNODE_300_length_4019_cov_4.97498.fasta	39970
RNODE_301_length_8746_cov_4.36474.fasta	87240
RNODE_302_length_1793_cov_4.21739.fasta	17710
RNODE_303_length_2852_cov_2.02615.fasta	28300
RNODE_304_length_2403_cov_7.18396.fasta	23810
RNODE_305_length_1545_cov_4.08273.fasta	15230
RNODE_306_length_4235_cov_12.16734.fasta	42130
RNODE_30_length_2201_cov_7.76228.fasta	21790
RNODE_310_length_7241_cov_7.51586.fasta	72190
RNODE_312_length_1648_cov_2.63653.fasta	16260
